"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US5000571575","Sutton town, Caledonia County, Vermont","360","64","306","52","54","37",
"0600000US5000575700","Walden town, Caledonia County, Vermont","464","77","435","77","29","13",
"0600000US5000577125","Waterford town, Caledonia County, Vermont","503","71","498","70","5","6",
"0600000US5000583500","Wheelock town, Caledonia County, Vermont","283","61","277","59","6","8",
"0600000US5000706550","Bolton town, Chittenden County, Vermont","548","103","447","93","101","53",
"0600000US5000710300","Buels gore, Chittenden County, Vermont","13","13","13","13","0","10",
"0600000US5000710675","Burlington city, Chittenden County, Vermont","17504","566","7267","507","10237","559",
"0600000US5000713300","Charlotte town, Chittenden County, Vermont","1807","149","1725","161","82","55",
"0600000US5000714875","Colchester town, Chittenden County, Vermont","7092","327","5257","315","1835","280",
"0600000US5000724175","Essex town, Chittenden County, Vermont","4912","277","3729","254","1183","328",
"0600000US5000724400","Essex Junction city, Chittenden County, Vermont","4761","225","2823","293","1938","307",
"0600000US5000733475","Hinesburg town, Chittenden County, Vermont","2181","206","1823","243","358","136",
"0600000US5000734600","Huntington town, Chittenden County, Vermont","849","109","679","80","170","99",
"0600000US5000736700","Jericho town, Chittenden County, Vermont","2106","104","1956","173","150","126",
"0600000US5000745250","Milton town, Chittenden County, Vermont","4220","273","3666","289","554","164",
"0600000US5000759275","Richmond town, Chittenden County, Vermont","1842","177","1452","179","390","235",
"0600000US5000762050","St. George town, Chittenden County, Vermont","305","68","278","61","27","23",
"0600000US5000764300","Shelburne town, Chittenden County, Vermont","3333","206","2331","204","1002","261",
"0600000US5000766175","South Burlington city, Chittenden County, Vermont","9466","412","5830","471","3636","470",
"0600000US5000773975","Underhill town, Chittenden County, Vermont","1197","180","955","233","242","185",
"0600000US5000780350","Westford town, Chittenden County, Vermont","797","82","686","87","111","60",
"0600000US5000784475","Williston town, Chittenden County, Vermont","4421","292","3318","298","1103","291",
"0600000US5000785150","Winooski city, Chittenden County, Vermont","4102","257","1444","265","2658","384",
"0600000US5000902125","Averill town, Essex County, Vermont","9","9","9","9","0","10",
"0600000US5000902162","Avery's gore, Essex County, Vermont","0","10","0","10","0","10",
"0600000US5000906325","Bloomfield town, Essex County, Vermont","113","33","94","28","19","18",
"0600000US5000908725","Brighton town, Essex County, Vermont","554","83","283","60","271","65",
"0600000US5000910075","Brunswick town, Essex County, Vermont","41","14","39","14","2","3",
"0600000US5000911800","Canaan town, Essex County, Vermont","384","54","351","52","33","18",
"0600000US5000915250","Concord town, Essex County, Vermont","518","68","485","69","33","26",
"0600000US5000921250","East Haven town, Essex County, Vermont","115","34","108","34","7","6",
